FilterItLogS,ZMIC1,Lipinski,RNCG,PEOE_VSA6,logS
-1.5377462934674953,22.108458593344352,1,0.6774367609425247,17.696185628620217,-0.73
0.0037153563930183,24.127456132719484,1,0.3634825657728475,0.0,0.94
-2.0084753522069088,30.423328236220115,1,0.1808380024805676,13.847474399381248,-2.23
-1.8935864143233605,23.72654613161715,1,0.4245671205720752,0.0,-1.6
-3.2788195352032306,34.9761493040408,1,0.1969160118108311,0.0,-2.62
-0.4229175493769162,27.50210646629833,1,0.2051791009800483,0.0,-0.4
-1.9334213848150248,23.00989850849939,1,0.1572664860610682,35.89528683400505,-2.21
-1.7384143688016214,16.281626451835294,1,0.6336881141219429,13.344558822616634,-0.8
0.814664405997089,17.25,1,0.4738435524075167,0.0,0.32
-5.476098173351177,68.89526559732569,1,0.2841004465602195,58.00469945116258,-5.82
-3.371932386945561,43.7709762989226,1,0.6564847878898402,34.802819670697545,-2.21
-0.5786733952133488,26.490360470993423,1,0.4355215913052869,12.13273413692322,0.62
-3.364429757905245,39.29022709499203,1,0.2714162305665289,17.667306958694127,-3.55
-3.5830040465119937,34.62932163873129,1,0.4071585125802258,45.448666937246685,-4.69
-4.904246822123644,65.24236762638546,1,0.5580567529052485,58.00469945116258,-4.28
1.6337967224129748,65.25392665267077,0,0.0990047979551558,12.13273413692322,-0.742
-1.1914635302044123,28.72528958917005,1,0.8816674695738641,22.590870627068057,-1.0
-1.1956906928912894,25.69832886099526,1,0.4633188235989277,6.06636706846161,-1.01
-3.3687625528744456,41.31590708808445,1,0.1611095477235827,13.847474399381248,-5.16
-0.8194067074709033,22.853496664211537,1,0.4295454814255828,23.97975839243781,-1.77
-4.017807577595526,43.83184756464779,1,0.2483843623980058,19.420578929450517,-3.817
-3.422243802004493,29.78051841999937,1,0.4369159040197206,39.02784531432067,-3.3
-1.1229889280331833,19.74937501201927,1,0.1999999999999999,32.10410811463005,-2.64
-1.906195607248686,26.578444436108757,1,0.528313435157089,20.771211599071872,-2.32
-2.004510367802073,16.387259602777974,1,0.4415710057337216,13.344558822616634,-2.03
-2.483689537904911,38.23693027897291,1,0.2864541595597786,12.990104268152232,-4.955
-2.1299107218088973,33.15450936039659,1,0.3116903930765027,34.802819670697545,-2.0
-0.9944175574732804,30.004281985031803,1,0.3339838041144836,0.0,-1.34
-1.4734632354264896,24.18947501009619,1,0.337953349194981,29.78081546406353,-1.64
-1.9719886808931744,46.529325012980806,1,0.1666666666666666,0.0,-2.89
-2.916172212561415,55.80832258796112,1,0.201322891702834,35.353919994132795,-5.4
-2.485961109091407,37.714826741747245,1,0.228103690352701,0.0,-3.658
-3.0063613834418064,25.931763284444852,1,0.4718237804038441,26.689117645233267,-2.58
-4.71013199860684,41.39499298337304,1,0.0887914314312184,0.0,-5.23
-2.165038744979885,19.35137166788568,1,0.5695523771328286,19.765380445542643,-1.45
1.0804224982126087,21.95500746208832,1,0.3348258433340383,0.0,1.12
-3.5659100952418843,50.64635140323914,1,0.189695759554743,11.600939890232516,-2.68
-2.968502394121514,26.78820794614243,1,0.1215001410852428,38.112942673227685,-3.76
-1.3531077339907736,20.177181234846262,1,0.6736664645332388,6.4208216229260096,-0.6
-1.364304252980212,21.0,1,0.1666666666666666,36.39820241076966,-1.64
-1.701736293467495,24.712370055513823,1,0.6938979238553065,18.19910120538483,-1.85
-6.837688204654549,64.53106537470407,0,0.0948993931375681,82.27016772500902,-7.15
-3.9834785828916974,46.82109597482322,1,0.2111675963146329,30.33183534230805,-3.37
